Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['RHOXF2BB+ctrl' 'LYL1+IER5L' 'ctrl+IER5L' 'KIAA1804+ctrl' 'IER5L+ctrl'
 'RHOXF2BB+ZBTB25' 'RHOXF2BB+SET']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:9
combo_seen1:43
combo_seen2:19
unseen_single:36
Done!
Creating dataloaders....
Done!
Found local copy...
[HCE] GO terms: 16, lambda_hce: 0.3, n_genes: 5045, n_perts: 9853
Start Training with HCE...
Epoch 1 Step 1 | total=3.1078 mse=0.4285 hce=8.9307
Epoch 1 Step 51 | total=2.1673 mse=0.4766 hce=5.6357
Epoch 1 Step 101 | total=1.7427 mse=0.5564 hce=3.9541
Epoch 1 Step 151 | total=0.9730 mse=0.4794 hce=1.6455
Epoch 1 Step 201 | total=0.7004 mse=0.4422 hce=0.8606
Epoch 1 Step 251 | total=0.4851 mse=0.4269 hce=0.1941
Epoch 1 Step 301 | total=0.9714 mse=0.5187 hce=1.5091
Epoch 1 Step 351 | total=0.7867 mse=0.4470 hce=1.1322
Epoch 1 Step 401 | total=0.7694 mse=0.4861 hce=0.9441
Epoch 1 Step 451 | total=0.6678 mse=0.5138 hce=0.5132
Epoch 1 Step 501 | total=0.7760 mse=0.4931 hce=0.9431
Epoch 1 Step 551 | total=0.6278 mse=0.5457 hce=0.2738
Epoch 1 Step 601 | total=0.6758 mse=0.5373 hce=0.4619
Epoch 1 Step 651 | total=0.6545 mse=0.4445 hce=0.7000
Epoch 1 Step 701 | total=0.5014 mse=0.4956 hce=0.0194
Epoch 1 Step 751 | total=0.4319 mse=0.4263 hce=0.0187
Epoch 1 Step 801 | total=0.4312 mse=0.4287 hce=0.0081
Epoch 1 Step 851 | total=0.4884 mse=0.4852 hce=0.0106
Epoch 1 Step 901 | total=0.5777 mse=0.5714 hce=0.0210
Epoch 1 Step 951 | total=0.5074 mse=0.4974 hce=0.0334
Epoch 1 Step 1001 | total=0.4552 mse=0.4510 hce=0.0140
Epoch 1 Step 1051 | total=0.4859 mse=0.4844 hce=0.0049
Epoch 1 Step 1101 | total=0.4495 mse=0.4485 hce=0.0034
Epoch 1 Step 1151 | total=0.5095 mse=0.5071 hce=0.0081
Epoch 1 Step 1201 | total=0.4767 mse=0.4748 hce=0.0061
Epoch 1 Step 1251 | total=0.6114 mse=0.6094 hce=0.0067
Epoch 1 Step 1301 | total=0.5129 mse=0.5076 hce=0.0175
Epoch 1 Step 1351 | total=0.4756 mse=0.4733 hce=0.0077
Epoch 1 Step 1401 | total=0.4011 mse=0.3981 hce=0.0099
Epoch 1 Step 1451 | total=0.5595 mse=0.5572 hce=0.0075
Epoch 1 Step 1501 | total=0.5559 mse=0.5547 hce=0.0040
Epoch 1 Step 1551 | total=0.4323 mse=0.4212 hce=0.0367
Epoch 1: Val MSE=0.0757 | Val Pearson=0.8126 | HCE loss=0.6921
Epoch 2 Step 1 | total=0.4829 mse=0.4814 hce=0.0049
Epoch 2 Step 51 | total=0.4919 mse=0.4885 hce=0.0115
Epoch 2 Step 101 | total=0.5038 mse=0.4779 hce=0.0862
Epoch 2 Step 151 | total=0.4886 mse=0.4875 hce=0.0036
Epoch 2 Step 201 | total=0.4791 mse=0.4773 hce=0.0060
Epoch 2 Step 251 | total=0.4714 mse=0.4691 hce=0.0076
Epoch 2 Step 301 | total=0.4755 mse=0.4746 hce=0.0031
Epoch 2 Step 351 | total=0.4534 mse=0.4525 hce=0.0030
Epoch 2 Step 401 | total=0.4677 mse=0.4665 hce=0.0040
Epoch 2 Step 451 | total=0.5566 mse=0.5556 hce=0.0033
Epoch 2 Step 501 | total=0.4661 mse=0.4648 hce=0.0045
Epoch 2 Step 551 | total=0.5909 mse=0.5889 hce=0.0066
Epoch 2 Step 601 | total=0.4275 mse=0.4269 hce=0.0019
Epoch 2 Step 651 | total=0.4956 mse=0.4939 hce=0.0054
Epoch 2 Step 701 | total=0.5243 mse=0.5190 hce=0.0177
Epoch 2 Step 751 | total=0.4730 mse=0.4717 hce=0.0046
Epoch 2 Step 801 | total=0.4566 mse=0.4552 hce=0.0044
Epoch 2 Step 851 | total=0.5531 mse=0.5510 hce=0.0071
Epoch 2 Step 901 | total=0.4843 mse=0.4836 hce=0.0022
Epoch 2 Step 951 | total=0.4657 mse=0.4640 hce=0.0056
Epoch 2 Step 1001 | total=0.5811 mse=0.5797 hce=0.0045
Epoch 2 Step 1051 | total=0.4935 mse=0.4923 hce=0.0041
Epoch 2 Step 1101 | total=0.5129 mse=0.5117 hce=0.0041
Epoch 2 Step 1151 | total=0.4894 mse=0.4884 hce=0.0033
Epoch 2 Step 1201 | total=0.4981 mse=0.4972 hce=0.0029
Epoch 2 Step 1251 | total=0.5234 mse=0.5226 hce=0.0026
Epoch 2 Step 1301 | total=0.4308 mse=0.4299 hce=0.0033
Epoch 2 Step 1351 | total=0.5617 mse=0.5600 hce=0.0055
Epoch 2 Step 1401 | total=0.5211 mse=0.5191 hce=0.0067
Epoch 2 Step 1451 | total=0.4686 mse=0.4677 hce=0.0028
Epoch 2 Step 1501 | total=0.5060 mse=0.5050 hce=0.0031
Epoch 2 Step 1551 | total=0.5110 mse=0.5090 hce=0.0065
Epoch 2: Val MSE=0.0771 | Val Pearson=0.8098 | HCE loss=0.0090
Epoch 3 Step 1 | total=0.4648 mse=0.4633 hce=0.0052
Epoch 3 Step 51 | total=0.5186 mse=0.5174 hce=0.0042
Epoch 3 Step 101 | total=0.5080 mse=0.5066 hce=0.0044
